,game_id,Y_prob,odds_mean,per_bet,firm,p_return,team_abbr,home
202211210IND,,0.7507021830012564,0.7110199513113017,0.0155196154209296,bet365,0.3703703703703703,IND,True
202211210CHI,,0.3507951223787233,0.3476234276135424,0.0,,0.0,,0
202211210MIL,,0.7927811309838872,0.7797229287138745,0.0,,0.0,,0
202211210MIN,,0.799825846565683,0.7528732846212052,0.0266491831258814,Unibet,0.3003003003003003,MIN,True
202211210NOP,,0.7341408817143081,0.8111936581596136,0.0205433400253913,bet365,4.5,GSW,False
202211210OKC,,0.4957953223037226,0.5249834037123805,0.005495681250078,bet365,1.04,NYK,False
202211210LAC,,0.5486595813979792,0.5517178210795223,0.0,,0.0,,0
202211220PHO,,0.7748523483121017,0.7808760665774379,0.0,,0.0,,0
202211230CHO,,0.5472865350511658,0.6156690493855581,0.0121665747540616,bet365,1.54,PHI,False
202211230CLE,,0.7434964574448899,0.7174151140784681,0.0012370407171593,Unibet,0.3496503496503496,CLE,True
202211230IND,,0.4578172747570634,0.4696998106989943,0.0013893358155928,Unibet,0.8620689655172413,MIN,False
202211230MIL,,0.673495817456259,0.7081723109959238,0.0025462150079529,bet365,2.2,CHI,False
202211230OKC,,0.471248600657626,0.4920754193176315,0.0007081815765511,bet365,0.9009009009009008,DEN,False
202211230SAS,,0.2974677326826888,0.3362792514701632,0.0134496002439917,Unibet,0.5,NOP,False
202211230UTA,,0.8121343162512206,0.8380398019088442,0.0021112547777758,bet365,4.75,DET,False
202211230GSW,,0.7717777306007704,0.7929387197740795,0.0028018593215446,bet365,3.75,LAC,False
202211250CHO,,0.3609573367396759,0.3225064821752331,0.0041553938065412,bet365,1.95,CHO,True
202211250ORL,,0.5419508304706993,0.5272335757584589,0.0,,0.0,,0
202211250NYK,,0.6956303506772935,0.6063576724251765,0.0276017122167339,Unibet,0.6410256410256411,NYK,True
202211250PHO,,0.815334468408691,0.8522180801150714,0.0045528626214433,bet365,5.5,DET,False
202211250GSW,,0.6997122279830351,0.734464371934918,0.0038959605413977,bet365,2.6,UTA,False
202211250LAC,,0.358708713664283,0.3872209876412609,0.0052809668145455,Unibet,0.5988023952095808,DEN,False
202211250LAC,,0.3516473429625158,0.3878889489058778,0.0102750543584792,Unibet,0.6211180124223602,DEN,False
202211260HOU,,0.4161589075456253,0.467857102172201,0.0079553072527928,bet365,0.8,OKC,False
202211260SAS,,0.6189434603023136,0.5103600005174739,0.0244963376547352,bet365,0.9009009009009008,SAS,True
202211260PHO,,0.7133373399580388,0.6789650657361915,0.0017350561819566,bet365,0.4098360655737705,PHO,True
202211270BRK,,0.7223863491604363,0.7291429944649221,0.0,,0.0,,0
202211270MIN,,0.5150120237720552,0.4606750905379518,0.0122980567495656,Unibet,1.12,MIN,True
202211270LAC,,0.3997923724336026,0.4582502338630418,0.0168691399796103,Unibet,0.819672131147541,IND,False
202211270ATL,,0.5841693681565548,0.6090056443191221,0.0076087165118397,bet365,1.6,MIA,False
202211270BOS,,0.7295519100688453,0.7353340087256319,0.0007734729404634,Unibet,2.75,WAS,False
202211270DET,,0.2908845743067335,0.2793453758393262,0.0,,0.0,,0
202211270NYK,,0.5028566001215812,0.4715118920988743,0.0037251150357729,bet365,1.04,NYK,True
202211270ORL,,0.4132996731340714,0.5041026937670539,0.0260100980597785,Unibet,1.0,PHI,False
202211270MIL,,0.6779612623293816,0.6725646769073295,0.0,,0.0,,0
