,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,home,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away,away
202210190UTA,UTA,240,42,83,0.506,16,38,0.421,23,31,0.742,11,32,43,27,10,1,19,21,123,0.636,0.602,0.458,0.373,30.6,76.2,55.1,64.3,9.9,1.6,16.4,100,122.2,101.4,52.8625,52.8625,2.327,0.511,DEN,240,40,83,0.482,5,22,0.227,17,18,0.944,10,25,35,21,10,3,21,23,102,0.561,0.512,0.265,0.217,23.8,69.4,44.9,52.5,9.9,6.7,18.8,100,101.4,122.2,51.275,51.275,1.989,0.41
202210190PHO,PHO,240,40,85,0.471,8,22,0.364,19,22,0.864,8,32,40,25,4,5,12,29,107,0.565,0.518,0.259,0.259,18.6,86.5,50,62.5,4.2,12.5,11.2,100,111.7,109.6,49.725,49.725,2.152,0.503,DAL,240,35,75,0.467,14,35,0.4,21,34,0.618,5,35,40,17,6,4,12,22,105,0.584,0.56,0.467,0.453,13.5,81.4,50,48.6,6.3,6.3,11.8,100,109.6,111.7,49.075,49.075,2.14,0.346
202210190SAC,SAC,240,39,85,0.459,17,44,0.386,13,19,0.684,4,37,41,27,8,5,15,25,108,0.578,0.559,0.518,0.224,10.8,77.1,48.2,69.2,7.9,8.3,13.8,100,106.7,113.6,52.5125,52.5125,2.057,0.514,POR,240,39,88,0.443,11,28,0.393,26,33,0.788,11,33,44,20,11,2,11,17,115,0.561,0.506,0.318,0.375,22.9,89.2,51.8,51.3,10.9,4.9,9.7,100,113.6,106.7,51.8375,51.8375,2.218,0.386
202210200PHI,PHI,240,36,83,0.434,5,24,0.208,11,13,0.846,6,38,44,17,6,5,10,14,88,0.496,0.464,0.289,0.157,12.8,84.4,47.8,47.2,6.5,11.9,10.1,100,95.1,97.3,46.5875,46.5875,1.889,0.365,MIL,240,34,84,0.405,13,42,0.31,9,14,0.643,7,41,48,24,4,6,12,16,90,0.499,0.482,0.5,0.167,15.6,87.2,52.2,70.6,4.3,10.2,11.7,100,97.3,95.1,47.825,47.825,1.882,0.502
202210200LAL,LAL,240,33,94,0.351,9,45,0.2,22,26,0.846,8,30,38,23,13,5,10,24,97,0.46,0.399,0.479,0.277,14.3,75,39.6,69.7,12.5,9.8,8.7,100,93.3,99.1,54.175,54.175,1.79,0.425,LAC,240,37,80,0.463,9,29,0.31,20,31,0.645,10,48,58,18,7,7,22,24,103,0.55,0.519,0.363,0.388,25,85.7,60.4,48.6,6.7,14.3,19,100,99.1,93.3,53.3625,53.3625,1.93,0.337
202210210WAS,WAS,240,41,80,0.513,10,26,0.385,10,11,0.909,5,34,39,26,8,8,16,22,102,0.601,0.575,0.325,0.138,15.2,77.3,50.6,63.4,8.5,15.4,15.9,100,108.5,106.3,48.1125,48.1125,2.12,0.54,CHI,240,33,79,0.418,7,27,0.259,27,33,0.818,10,28,38,19,8,3,13,15,100,0.535,0.462,0.342,0.418,22.7,84.8,49.4,57.6,8.5,5.6,12.2,100,106.3,108.5,48.8375,48.8375,2.048,0.389
202210210IND,IND,240,51,104,0.49,11,35,0.314,21,22,0.955,14,28,42,32,8,6,16,34,134,0.589,0.543,0.337,0.212,31.8,80,53.2,62.7,7.3,12,12.3,100,122.7,125.4,58.225,58.225,2.301,0.55,SAS,240,44,81,0.543,17,31,0.548,32,44,0.727,7,30,37,34,9,4,17,22,137,0.683,0.648,0.383,0.543,20,68.2,46.8,77.3,8.2,5.8,14.5,100,125.4,122.7,55.95,55.95,2.449,0.608
202210210CHO,CHO,240,44,97,0.454,13,34,0.382,11,14,0.786,11,26,37,30,9,4,13,24,112,0.543,0.521,0.351,0.144,22.4,63.4,41.1,68.2,8.9,6,11.2,100,110.2,122,52.825,52.825,2.12,0.568,NOP,240,42,89,0.472,8,22,0.364,32,37,0.865,15,38,53,23,9,7,15,14,124,0.589,0.517,0.247,0.416,36.6,77.6,58.9,54.8,8.9,11.1,12.5,100,122,110.2,53.2875,53.2875,2.327,0.432
202210210ATL,ATL,240,40,89,0.449,13,31,0.419,15,16,0.938,9,37,46,26,10,2,17,22,108,0.562,0.522,0.348,0.18,20.9,78.7,51.1,65,9.9,4.3,15,100,107.1,97.2,52.3,52.3,2.065,0.497,ORL,240,33,80,0.413,8,34,0.235,24,30,0.8,10,34,44,16,9,7,19,19,98,0.526,0.463,0.425,0.375,21.3,79.1,48.9,48.5,8.9,12.1,16.9,100,97.2,107.1,51.625,51.625,1.898,0.31
202210210BRK,BRK,240,38,80,0.475,13,35,0.371,20,29,0.69,13,31,44,26,3,13,13,19,109,0.588,0.556,0.438,0.363,28.3,79.5,51.8,68.4,3.2,23.2,12.3,100,116.8,112.5,46.8875,46.8875,2.325,0.555,TOR,240,41,84,0.488,11,28,0.393,12,18,0.667,8,33,41,25,9,4,13,21,105,0.571,0.554,0.333,0.214,20.5,71.7,48.2,61,9.6,8.9,12.4,100,112.5,116.8,48.775,48.775,2.153,0.513
202210210MIA,MIA,240,42,92,0.457,8,26,0.308,12,15,0.8,11,25,36,23,8,3,9,18,104,0.527,0.5,0.283,0.163,26.2,67.6,45.6,54.8,8.7,6.5,8.4,100,113.2,120.8,48.5625,48.5625,2.142,0.474,BOS,240,41,79,0.519,14,33,0.424,15,15,1,12,31,43,17,4,11,19,23,111,0.648,0.608,0.418,0.19,32.4,73.8,54.4,41.5,4.4,16.7,18.2,100,120.8,113.2,46.5625,46.5625,2.384,0.365
202210210NYK,NYK,240,50,95,0.526,16,38,0.421,14,22,0.636,11,39,50,29,4,6,12,26,130,0.621,0.611,0.4,0.232,23.4,75,50.5,58,3.8,11.1,10.3,100,124.6,101.6,53.225,53.225,2.442,0.545,DET,240,39,90,0.433,9,36,0.25,19,32,0.594,13,36,49,26,6,2,15,21,106,0.509,0.483,0.4,0.356,25,76.6,49.5,66.7,5.8,3.5,12.6,100,101.6,124.6,53.6,53.6,1.978,0.485
202210210HOU,HOU,240,44,93,0.473,16,35,0.457,18,30,0.6,13,32,45,18,4,6,14,22,122,0.574,0.559,0.376,0.323,28.3,65.3,47.4,40.9,3.9,10.7,11.6,100,118.4,125.2,54.125,54.125,2.254,0.333,MEM,240,45,98,0.459,19,42,0.452,20,29,0.69,17,33,50,26,8,10,12,21,129,0.582,0.556,0.429,0.296,34.7,71.7,52.6,57.8,7.8,17.2,9.8,100,125.2,118.4,53.3875,53.3875,2.416,0.487
202210210MIN,MIN,265,49,107,0.458,11,33,0.333,17,23,0.739,21,39,60,20,5,7,20,22,126,0.538,0.509,0.308,0.215,37.5,67.2,52.6,40.8,4.5,11.5,14.6,100,112.7,118.1,58.4625,64.55234375,2.155,0.342,UTA,265,49,111,0.441,20,50,0.4,14,21,0.667,19,35,54,39,11,8,13,23,132,0.549,0.532,0.45,0.189,32.8,62.5,47.4,79.6,9.8,10.8,9.8,100,118.1,112.7,57.4875,63.47578125,2.296,0.678
202210210POR,POR,265,36,82,0.439,10,29,0.345,31,36,0.861,13,35,48,14,8,5,18,19,113,0.577,0.5,0.354,0.439,28.9,79.5,53.9,38.9,7.7,7.5,15.5,100,109,107,52.05,57.471875,2.171,0.269,PHO,265,43,94,0.457,10,27,0.37,15,21,0.714,9,32,41,31,14,1,16,29,111,0.538,0.511,0.287,0.223,20.5,71.1,46.1,72.1,13.5,1.9,13.4,100,107,109,55.4875,61.26744792,2,0.559
202210210GSW,GSW,240,42,88,0.477,15,44,0.341,24,27,0.889,7,28,35,34,10,3,18,23,123,0.616,0.563,0.5,0.307,19.4,70,46.1,81,9.5,5.8,15.3,100,116.9,121.7,55.9125,55.9125,2.2,0.608,DEN,240,46,86,0.535,15,34,0.441,21,25,0.84,12,29,41,30,10,2,20,22,128,0.66,0.622,0.395,0.291,30,80.6,53.9,65.2,9.5,4.5,17.1,100,121.7,116.9,52.9375,52.9375,2.418,0.567
202210220PHI,PHI,240,37,84,0.44,10,31,0.323,21,28,0.75,12,28,40,26,6,5,12,15,105,0.545,0.5,0.369,0.333,27.9,70,48.2,70.3,6.4,9.8,11.1,100,112.1,121.7,48.65,48.65,2.158,0.534,SAS,240,43,89,0.483,16,38,0.421,12,15,0.8,12,31,43,27,5,7,14,20,114,0.596,0.573,0.427,0.169,30,72.1,51.8,62.8,5.3,13.2,12.8,100,121.7,112.1,49.0625,49.0625,2.324,0.55
202210220IND,IND,240,45,103,0.437,16,42,0.381,18,24,0.75,20,39,59,28,7,15,11,21,124,0.546,0.515,0.408,0.233,35.7,69.6,52.7,62.2,6.9,28.3,8.8,100,122.4,113.5,52.7,52.7,2.353,0.531,DET,240,37,95,0.389,18,42,0.429,23,30,0.767,17,36,53,26,5,3,13,20,115,0.531,0.484,0.442,0.316,30.4,64.3,47.3,70.3,4.9,4.9,10.7,100,113.5,122.4,52.625,52.625,2.185,0.494
202210220ORL,ORL,240,45,95,0.474,15,34,0.441,15,23,0.652,12,36,48,21,5,7,9,24,120,0.571,0.553,0.358,0.242,28.6,83.7,56.5,46.7,5.1,17.5,7.9,100,122.3,128.4,51.4625,51.4625,2.332,0.408,BOS,240,42,87,0.483,19,47,0.404,23,28,0.821,7,30,37,24,5,6,8,21,126,0.634,0.592,0.54,0.322,16.3,71.4,43.5,57.1,5.1,9.8,7.5,100,128.4,122.3,50.65,50.65,2.488,0.474
202210220CHI,CHI,240,34,84,0.405,7,29,0.241,21,25,0.84,10,25,35,19,12,7,10,19,96,0.505,0.446,0.345,0.298,20,75.8,42.2,55.9,12.4,12.1,9.5,100,99.5,132.7,47.9375,47.9375,2.003,0.396,CLE,240,48,85,0.565,16,27,0.593,16,18,0.889,8,40,48,32,4,5,17,17,128,0.689,0.659,0.318,0.212,24.2,80,57.8,66.7,4.1,9.1,15.5,100,132.7,99.5,51.275,51.275,2.496,0.624
202210220MIA,MIA,240,38,76,0.5,11,30,0.367,25,27,0.926,6,38,44,28,2,2,15,26,112,0.637,0.572,0.395,0.355,17.1,82.6,54.3,73.7,2.1,4.2,14.6,100,118.1,114.9,48.9125,48.9125,2.29,0.572,TOR,240,37,87,0.425,14,39,0.359,21,28,0.75,8,29,37,24,9,5,6,25,109,0.549,0.506,0.448,0.322,17.4,82.9,45.7,64.9,9.5,10.9,5.7,100,114.9,118.1,49.15,49.15,2.218,0.488
202210220MIL,MIL,240,48,85,0.565,16,31,0.516,13,21,0.619,8,39,47,29,6,10,16,22,125,0.663,0.659,0.365,0.247,20,72.2,50,60.4,6.1,17.9,14.5,100,126,105.9,51.4875,51.4875,2.428,0.563,HOU,240,36,93,0.387,16,37,0.432,17,22,0.773,15,32,47,20,9,6,12,22,105,0.511,0.473,0.398,0.237,27.8,80,50,55.6,9.1,11.1,10.5,100,105.9,126,50.225,50.225,2.091,0.398
202210220DAL,DAL,240,45,90,0.5,17,39,0.436,30,36,0.833,15,37,52,23,7,7,15,24,137,0.647,0.594,0.433,0.4,39.5,86,64.2,51.1,7,15.2,12.4,100,137.5,96.3,53.55,53.55,2.558,0.43,MEM,240,34,79,0.43,9,33,0.273,19,24,0.792,6,23,29,20,4,8,17,29,96,0.536,0.487,0.418,0.304,14,60.5,35.8,58.8,4,15.7,16,100,96.3,137.5,50.7,50.7,1.893,0.394
202210220DEN,DEN,240,42,85,0.494,20,38,0.526,18,31,0.581,9,37,46,33,5,6,18,21,122,0.618,0.612,0.447,0.365,19.6,78.7,49.5,78.6,4.8,10.7,15.4,100,116.3,111.6,54.3625,54.3625,2.244,0.607,OKC,240,42,94,0.447,15,38,0.395,18,23,0.783,10,37,47,29,10,5,12,27,117,0.562,0.527,0.404,0.245,21.3,80.4,50.5,69,9.5,10.6,10.3,100,111.6,116.3,53.4625,53.4625,2.188,0.542
202210220SAC,SAC,240,40,85,0.471,14,35,0.4,15,26,0.577,9,30,39,24,5,5,12,21,109,0.565,0.553,0.412,0.306,20.5,85.7,49.4,60,5.1,8.5,11.1,100,112.2,114.3,50.175,50.175,2.172,0.478,LAC,240,41,81,0.506,9,22,0.409,20,22,0.909,5,35,40,24,8,3,13,21,111,0.612,0.562,0.272,0.272,14.3,79.5,50.6,58.5,8.2,6,12.5,100,114.3,112.2,49.725,49.725,2.232,0.483
202210230LAL,LAL,240,41,92,0.446,6,33,0.182,16,20,0.8,10,30,40,26,9,9,13,24,104,0.516,0.478,0.359,0.217,20.4,69.8,43.5,63.4,9,15.8,11.4,100,103.8,105.8,52.25,52.25,1.99,0.498,POR,240,37,84,0.44,10,27,0.37,22,27,0.815,13,39,52,19,6,5,19,20,106,0.553,0.5,0.321,0.321,30.2,79.6,56.5,51.4,6,8.5,16.5,100,105.8,103.8,51.4125,51.4125,2.062,0.37
202210230ATL,ATL,240,39,95,0.411,8,35,0.229,23,28,0.821,16,29,45,23,8,9,12,21,109,0.508,0.453,0.368,0.295,29.6,67.4,46.4,59,8,14.1,10.1,100,108.7,125.7,52.15,52.15,2.09,0.441,CHO,240,47,90,0.522,11,26,0.423,21,30,0.7,14,38,52,28,7,6,13,24,126,0.61,0.583,0.289,0.333,32.6,70.4,53.6,59.6,7,10,11.2,100,125.7,108.7,51.625,51.625,2.441,0.542
202210230CLE,CLE,265,41,96,0.427,13,33,0.394,22,25,0.88,16,32,48,19,10,5,13,20,117,0.547,0.495,0.344,0.26,34,88.9,57.8,46.3,9.8,8.5,10.8,100,114.3,104.5,52.4375,57.89973958,2.231,0.362,WAS,265,43,87,0.494,12,28,0.429,9,15,0.6,4,31,35,25,9,4,18,24,107,0.572,0.563,0.322,0.172,11.1,66,42.2,58.1,8.8,6.3,16.1,100,104.5,114.3,54.0625,59.69401042,1.979,0.462
202210230NOP,NOP,265,48,102,0.471,8,27,0.296,17,22,0.773,14,31,45,30,8,6,17,22,121,0.542,0.51,0.265,0.216,32.6,67.4,50.6,62.5,7.4,10,13.2,100,112.6,113.5,57.725,63.73802083,2.096,0.52,UTA,265,43,98,0.439,13,38,0.342,23,28,0.821,15,29,44,29,13,6,16,20,122,0.553,0.505,0.388,0.286,32.6,67.4,49.4,67.4,12.1,8,12.7,100,113.5,112.6,56.15,61.99895833,2.173,0.516
202210230OKC,OKC,240,41,94,0.436,9,41,0.22,15,21,0.714,11,31,42,24,7,4,11,15,106,0.513,0.484,0.436,0.223,20.8,72.1,43.8,58.5,7,7.4,9.6,100,105.5,115.5,51.9875,51.9875,2.039,0.462,MIN,240,46,88,0.523,10,34,0.294,14,22,0.636,12,42,54,24,9,3,15,17,116,0.594,0.58,0.386,0.25,27.9,79.2,56.3,52.2,9,5.7,13.3,100,115.5,105.5,50.725,50.725,2.287,0.473
202210230GSW,GSW,240,45,87,0.517,14,33,0.424,26,36,0.722,6,31,37,24,7,5,13,21,130,0.632,0.598,0.379,0.414,13.6,70.5,42,53.3,6.4,8.8,11.2,100,119.5,114.9,55.55,55.55,2.34,0.432,SAC,240,47,100,0.47,11,43,0.256,20,25,0.8,13,38,51,31,10,2,16,29,125,0.563,0.525,0.43,0.25,29.5,86.4,58,66,9.2,3.7,12.6,100,114.9,119.5,57.4375,57.4375,2.176,0.54
202210230LAC,LAC,240,36,82,0.439,9,32,0.281,14,20,0.7,9,34,43,16,10,0,14,18,95,0.523,0.494,0.39,0.244,20,72.3,46.7,44.4,10.6,0,13.4,100,100.4,118.4,48.25,48.25,1.969,0.332,PHO,240,43,93,0.462,15,42,0.357,11,12,0.917,13,36,49,29,5,3,12,18,112,0.57,0.543,0.452,0.129,27.7,80,53.3,67.4,5.3,6,10.9,100,118.4,100.4,48.85,48.85,2.293,0.594
202210240PHI,PHI,240,38,80,0.475,19,43,0.442,25,28,0.893,7,32,39,25,8,7,7,20,120,0.65,0.594,0.538,0.35,17.5,69.6,45.3,65.8,8.6,15.2,7,100,129.3,114.2,46.65,46.65,2.572,0.536,IND,240,38,90,0.422,12,44,0.273,18,23,0.783,14,33,47,27,3,4,13,23,106,0.529,0.489,0.489,0.256,30.4,82.5,54.7,71.1,3.2,10.8,11.5,100,114.2,129.3,49.9625,49.9625,2.122,0.54
202210240MIA,MIA,240,29,83,0.349,8,34,0.235,24,27,0.889,8,38,46,19,5,3,12,15,90,0.474,0.398,0.41,0.325,16,79.2,46.9,65.5,5.2,5.6,11.2,100,94.3,102.6,49.9125,49.9125,1.803,0.381,TOR,240,34,86,0.395,14,32,0.438,16,20,0.8,10,42,52,22,6,6,12,22,98,0.517,0.477,0.372,0.233,20.8,84,53.1,64.7,6.3,12.2,11.2,100,102.6,94.3,48.75,48.75,2.01,0.451
202210240NYK,NYK,240,43,93,0.462,11,37,0.297,18,25,0.72,18,32,50,24,7,3,13,24,115,0.553,0.522,0.398,0.269,39.1,71.1,54.9,55.8,7.4,5.9,11.1,100,122.1,108.3,49.9375,49.9375,2.303,0.481,ORL,240,36,86,0.419,7,35,0.2,23,27,0.852,13,28,41,14,6,4,12,23,102,0.521,0.459,0.407,0.314,28.9,60.9,45.1,38.9,6.4,7.1,10.9,100,108.3,122.1,48.9125,48.9125,2.085,0.286
202210240MIN,MIN,240,38,86,0.442,8,31,0.258,22,24,0.917,10,40,50,24,7,5,16,18,106,0.549,0.488,0.36,0.279,21.7,74.1,50,63.2,6.7,7.4,14.2,100,102,110.7,51.7,51.7,2.05,0.464,SAS,240,48,105,0.457,12,37,0.324,7,13,0.538,14,36,50,37,11,0,13,21,115,0.519,0.514,0.352,0.124,25.9,78.3,50,77.1,10.6,0,10.5,100,110.7,102,55.0875,55.0875,2.088,0.672
202210240MEM,MEM,240,47,94,0.5,16,34,0.471,24,31,0.774,12,26,38,21,7,3,8,22,134,0.622,0.585,0.362,0.33,31.6,74.3,52.1,44.7,7.1,5.2,6.9,100,136.8,126.6,52.3625,52.3625,2.559,0.401,BRK,240,47,87,0.54,9,29,0.31,21,26,0.808,9,26,35,27,4,7,11,30,124,0.63,0.592,0.333,0.299,25.7,68.4,47.9,57.4,4.1,11.7,10.1,100,126.6,136.8,50.675,50.675,2.447,0.533
202210240CHI,CHI,240,42,87,0.483,10,21,0.476,26,29,0.897,14,46,60,29,4,6,13,18,120,0.601,0.54,0.241,0.333,31.1,76.7,57.1,69,4.1,11.5,11.5,100,122.6,104.2,49.8875,49.8875,2.405,0.581,BOS,240,37,100,0.37,18,48,0.375,10,12,0.833,14,31,45,26,5,7,10,24,102,0.484,0.46,0.48,0.12,23.3,68.9,42.9,70.3,5.1,10.6,8.7,100,104.2,122.6,50.85,50.85,2.006,0.511
202210240HOU,HOU,240,38,90,0.422,11,35,0.314,27,32,0.844,17,30,47,17,7,7,15,20,114,0.548,0.483,0.389,0.356,35.4,62.5,49,44.7,7.1,11.5,12.6,100,115.2,109.2,51.6,51.6,2.209,0.329,UTA,240,44,93,0.473,11,32,0.344,9,16,0.563,18,31,49,23,8,10,20,27,108,0.54,0.532,0.344,0.172,37.5,64.6,51,52.3,8.1,18.2,16.7,100,109.2,115.2,51.3,51.3,2.105,0.448
202210240POR,POR,240,48,83,0.578,16,35,0.457,23,31,0.742,9,36,45,23,3,6,8,15,135,0.698,0.675,0.422,0.373,24.3,78.3,54.2,47.9,3.2,10,7.6,100,143.5,116.9,48.3625,48.3625,2.791,0.476,DEN,240,45,91,0.495,12,31,0.387,8,14,0.571,10,28,38,28,4,1,8,28,110,0.566,0.56,0.341,0.154,21.7,75.7,45.8,62.2,4.3,2.1,7.6,100,116.9,143.5,47.825,47.825,2.3,0.585
202210250WAS,WAS,240,44,85,0.518,10,33,0.303,22,26,0.846,9,38,47,26,7,7,11,21,120,0.622,0.576,0.388,0.306,23.1,77.6,53.4,59.1,7.2,11.7,10.2,100,123.2,101.7,49.675,49.675,2.416,0.523,DET,240,36,88,0.409,8,28,0.286,19,25,0.76,11,30,41,12,6,1,13,26,99,0.5,0.455,0.318,0.284,22.4,76.9,46.6,33.3,6.2,1.9,11.6,100,101.7,123.2,50.9375,50.9375,1.944,0.236
202210250NOP,NOP,240,44,76,0.579,12,27,0.444,13,18,0.722,4,22,26,25,7,3,14,21,113,0.673,0.658,0.355,0.237,13.3,66.7,41.3,56.8,7.8,7,14.3,100,125.1,122.9,47.275,47.275,2.39,0.529,DAL,240,41,82,0.5,12,39,0.308,17,24,0.708,11,26,37,18,8,5,11,16,111,0.6,0.573,0.476,0.293,33.3,86.7,58.7,43.9,8.9,10.2,10.6,100,122.9,125.1,46.7,46.7,2.377,0.385
202210250OKC,OKC,240,42,110,0.382,4,30,0.133,20,25,0.8,21,39,60,19,12,8,5,13,108,0.446,0.4,0.273,0.227,34.4,84.8,56.1,45.2,12,15.4,4,100,107.8,93.8,52.9375,52.9375,2.04,0.359,LAC,240,35,83,0.422,10,31,0.323,14,18,0.778,7,40,47,21,5,14,18,18,94,0.517,0.482,0.373,0.217,15.2,65.6,43.9,60,5,17.5,16.5,100,93.8,107.8,51.275,51.275,1.833,0.41
202210250PHO,PHO,240,47,92,0.511,12,29,0.414,28,34,0.824,14,34,48,31,8,4,13,19,134,0.626,0.576,0.315,0.37,31.8,77.3,54.5,66,7.9,7.1,10.8,100,132.7,104,53.575,53.575,2.501,0.579,GSW,240,41,91,0.451,10,35,0.286,13,17,0.765,10,30,40,28,7,7,13,28,105,0.533,0.505,0.385,0.187,22.7,68.2,45.5,68.3,6.9,11.1,11.7,100,104,132.7,51.0375,51.0375,2.057,0.549
